count, RK_W, RC_W, RF_W, RH_W, WK_W, WC_W, WF_W, WH_W,Winner, W_P, W_K, R_P, R_K, turns
1, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, White, 6, 1, 1, 0, 49
2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, None, 6, 1, 0, 2, 77
3, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, White, 6, 1, 1, 0, 49
4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, None, 6, 1, 0, 2, 77
5, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, White, 6, 1, 1, 0, 49
6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, None, 6, 1, 0, 2, 77
7, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, White, 6, 1, 1, 0, 49
8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, None, 6, 1, 0, 2, 77
9, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, White, 6, 1, 1, 0, 49
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, White, 6, 1, 4, 1, 77
11, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, Red, 4, 1, 0, 2, 96
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, None, 2, 2, 1, 2, 86
13, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0, White, 4, 1, 0, 1, 61
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, Red, 3, 1, 0, 1, 78
15, 0.0, 0.0, 0.2, 0.4, 0.0, 0.0, 0.0, 0.0, White, 4, 1, 0, 1, 61
16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.4, Red, 0, 3, 0, 3, 100
17, 0.0, 0.0, 0.2, 0.6, 0.0, 0.0, 0.0, 0.0, White, 4, 1, 0, 1, 61
18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.6, None, 3, 2, 3, 1, 83
